Timestamp,Age,Gender,Hometown (include only state and city),Major/majors,favorite genre #1,favorite genre #2,favorite genre #3,Who is your favorite artist(s)?,How many hours per day do you listen to music? ,Do you play any instrument,What instrument do you play?,Are you an introvert or extrovert? ,What are your hobbies? If it's more than one please put commas in between your responses. ,What is/are your favorite color(s)? 
2/13/2024 14:22:40,21,Male,"Vacaville, CA","Business Economics, Marine Biology ",house,reggaeton,pop,"The 1975, Bad Bunny, Tiesto, Quevedo ",2,Yes,"guitar, piano",Extrovert,"Making music, reading, traveling, cooking ","Blue, Brown, Green"
2/13/2024 14:24:10,23,Male,"Santa Cruz de la Sierra, Bolivia",Cognitive Science (Design and Interaction),pop,reggaeton,hiphop/rap,Bad Bunny,2,No,,Introvert,"Games, mountain biking, spending money","Blue, Purple"
2/13/2024 14:26:47,21,Male,"Hangzhou, China",Computer science,classical,country,pop,none,1,Yes,piano,Introvert,"Playing video games, reading books","Blue, Black"
2/13/2024 14:57:36,20,Female,"Sunnyvale, Ca",Cog Sci ,R&B,classical,rock,"SZA, Tamino, Hers, Lana del Ray ",2,No,,Introvert,"Reading, journaling, baking ",Green
2/13/2024 14:57:53,21,Female,"California, Chula Vista",Cog Sci Design,R&B,hiphop/rap,house,"Usher, Tyla, Summer Walker, Jorja Smith, Knock2",6,Yes,ukulele,Introvert,Dance,"Blue, Brown, Green"
2/13/2024 14:58:36,21,Female,Madrid spain,Business economics ,pop,reggaeton,hiphop/rap,"Beret, melendi, mecano, wising y ya del, mike towers ",3,Yes,drums,Extrovert,"Netflix, reading, sports",Pink
2/13/2024 15:19:15,20,Female,"Ann Arbor, MI",Molecular and Cell Biology,pop,hiphop/rap,reggaeton,"taylor swift, bad bunny, drake",~3,Yes,violin,Introvert,"running, drawing","Pink, Blue, Yellow"
2/13/2024 15:30:33,20,Female,"Hershey, PA",Aerospace Structural Engineering ,pop,R&B,country,zach bryan,3,No,,Introvert,tennis,"Pink, Green"
2/13/2024 15:38:28,20,Male,California Cupertino,Electrical Engineering,hiphop/rap,pop,EDM,"Kanye, Blvck Svm",1,No,,Introvert,"Soccer, skating","Yellow, Black"
2/13/2024 15:41:08,21,Male,"Pleasanton, California","Cognitive Science, Machine Learning",R&B,k-pop,pop,"NIKI, Seori, Kishi Bashi",2,Yes,violin,Introvert,"reading, tetris, league of legends, valorant","Blue, Green"
2/13/2024 15:46:42,21,Male,"Portland, Oregon",Urban Studies and Planning,hiphop/rap,rock,heavy metal,Kanye or Yung Lean,3.5,Yes,guitar,Introvert,"Video games, guitar, lego, drawing","Blue, Green"
2/13/2024 15:52:56,20,Male,"Roslyn, NY",Math-CS,rock,pop,hiphop/rap,Kendrick Lamar,1,Yes,"trumpet, harmonica",Extrovert,"sports, reading, surfing, drinking",Green
2/13/2024 16:05:58,22,Female,"Los Angeles, CA",Psychology & Human Developmental Science,k-pop,R&B,jazz,"Laufey, Beabadoobee, DAY6, LeSerrafim",3,No,,Extrovert,"Crocheting, Photography, Gaming",Pink
2/13/2024 16:25:59,22,Female,"San Jose, California",Psychology,pop,indie,country,Taylor Swift,less than 1,Yes,"guitar, piano, flute, ukulele",Introvert,"Reading, watching tv/movies, music, hanging out with friends","Red, Pink, Blue, Green, Black, Purple"
2/13/2024 16:56:11,20,Male,"Spokane, Wa",Cognitive and Behavioral Neuroscience,pop,hiphop/rap,heavy metal,"Omnific, Sleep Token, meek mill, Sammy Rae",3.5,No,,Introvert,"Reading, dancing, climbing, rowing, lifting, calisthenics, data science","Blue, Green, Black"
2/13/2024 18:47:00,21,Female,San Diego CA,General Biology,Pashto music,pop,rock,"Fahad Darya, Nicky Youre",0-1,No,,Introvert,"gardening, cooking",Blue
2/13/2024 20:11:37,21,Male,"Covina, California",Cognitive Science,J-pop,alternative rock,oldies,Toyosaki Aki,10+,No,,Introvert,"Workout, anime, walk","Red, Black"
2/13/2024 20:31:56,26,Male,"Rosemead, CA",CogSci w/ ML and NC,pop,hiphop/rap,punk,J Cole,5-7,No,,Extrovert,"working out, gaming, running, basketball, bouldering","Blue, Green, Black"
2/13/2024 20:37:29,21,Female,"San Francisco, CA",Cognitive science,pop,R&B,hiphop/rap,"Dominic Fike, Taylor Swift",3.5,Yes,"violin, piano",Introvert,"reading, watching shows, biking","Blue, Green, Purple"
2/13/2024 23:45:25,20,Female,"Glendora, CA",Math-Cs,k-pop,pop,R&B,"TXT, Mitski, Victoria Monet",2,No,,Introvert,"Crocheting, cooking","Pink, Blue, Green"
2/14/2024 8:20:16,21,Female,"Sunnyvale, CA",Math-CS,R&B,hiphop/rap,reggae,"J Cole, Larry June, Tupac",3,Yes,piano,Extrovert,"Softball, Hiking, Going to the beach, Weightlifting",Orange
2/14/2024 9:25:41,21 years old,Male,"Chula Vista, California",MathCS,Power Metal,jpop,reggaeton,Stratovarius,3,No,,Introvert,Powerlifting,"Blue, Yellow"
2/14/2024 10:22:28,31,Male,"El Cajon, CA",Cognitive and behavioral neuroscience,rock,classical,R&B,James Blake,5,Yes,piano,Introvert,"Hiking, ultimate frisbee, playing music, botany",Blue
2/14/2024 11:10:23,22,Male,"Flemington, New Jersey",Computer Engineering,pop,house,hiphop/rap,Glass Animals,7,No,,Extrovert,"Skiing, Hiking, hanging out with friends",Blue
2/14/2024 12:43:11,23,Male,"High Point, NC",Math Econ,classical,rock,country,Bach,4,Yes,piano,Extrovert,Calligraphy ,Blue
2/14/2024 12:44:44,20,Male,San Diego ca,International Business ,EDM,pop,k-pop,"Slander, gryffin ",4 hours ,No,,Introvert,"Photography, Watching tv ",Blue
2/14/2024 12:46:57,20,Male,"Long Beach, CA",Environmental systems,house,EDM,rock,Rolling Stones,15,Yes,"guitar, Horn",Introvert,"Calisthenics, music","Blue, Black, Purple"
2/14/2024 12:49:29,21,Female,"Mexico City, Mexico ",Intl Business ,pop,R&B,house,Taylor Swift,1,No,,Extrovert,Basketball ,Pink
2/14/2024 12:52:15,19,Female,"Dallas, TX","Business Economics, minor in computational social science",Indie,jazz,reggaeton,"Laufey, ABBA, Maluma",3,Yes,"piano, clarinet",Extrovert,"Reading, Embroidery","Pink, Blue, Green"
2/14/2024 14:38:08,20,Male,"Cleveland, Ohio",Business Economics,rock,punk,folk,Last Dinosaurs,3,No,,Extrovert,"Painting, Soccer, Video Games, Language Learning","Blue, Yellow"
2/14/2024 19:19:50,25,Male,"Oceanside, CA",MathCS,hiphop/rap,alternative,R&B,"Tyler the Creator, Anderson .Paak, Tame Impala",3-4,No,,Introvert,"Cooking, listening to music, playing videogames",Green
2/15/2024 11:50:27,21,Male,"Algonquin, Illinois",Cognitive Science: Design and Interaction,hiphop/rap,pop,k-pop,Iann Dior,3,No,,Introvert,"Video Games, Watching Tv, Cooking, Gambling","Red, White"
2/15/2024 11:57:56,21,Male,"Panama City, Panama",Data Science,reggaeton,house,rock,Bad Bunny,1,Yes,guitar,Extrovert,"Fishing, cooking","Blue, Black, White"
2/15/2024 12:13:59,22,Female,"San Jose, CA",Data Science,k-pop,pop,hiphop/rap,NCT,10,No,,Introvert,"Drawing, cooking, and traveling/exploring new places","Pink, Yellow, Green"
2/15/2024 13:06:33,21,Female,"San Diego, CA",Cognitive Science,EDM,punk,R&B,Bladee,2-3 hours,No,,Introvert,"video games, drawing, painting, journaling","Red, Pink, Black, White"
2/15/2024 13:23:14,21,Female,"Shanghai, China",Psychology BS,pop,EDM,R&B,I don't have a specific favorite artist.,1 hour,No,,Introvert,"listening to music, watch youtube, play phone games, cooking","Blue, Green, Purple"
2/15/2024 16:14:36,21,Female,"San Diego, CA",Computer Science,hiphop/rap,EDM,classical,Metro Boomin,3,Yes,"violin, piano",Extrovert,"figure skating, violin, piano","Pink, Yellow, Green, White"
2/15/2024 16:35:56,21,Male,"Artesia, California",Computer Science,k-pop,pop,hiphop/rap,"Stray Kids, ZICO, JUNNY, Emotional Orange",4,Yes,"guitar, piano",Introvert,"Poker, Chess, Youtube, Video Games(tft), Reading","Black, White"
